"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","128.206.20.147","128.206.20.43","UDP","83","60857  >  55382 Len=41"
"2","0.000536","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"3","0.001187","128.206.20.147","128.206.20.43","UDP","83","60857  >  49636 Len=41"
"4","0.002281","128.206.20.43","128.206.20.147","UDP","83","55382  >  60857 Len=41"
"5","0.003008","128.206.20.147","128.206.20.43","UDP","614","60857  >  49639 Len=572"
"6","0.003058","128.206.20.43","128.206.20.147","UDP","83","49636  >  60857 Len=41"
"7","0.007545","128.206.20.43","128.206.20.147","UDP","617","49639  >  60857 Len=575"
"8","0.008628","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"9","0.019394","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"10","0.029874","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"11","0.033970","128.206.20.147","128.206.20.43","UDP","132","60857  >  49636 Len=90"
"12","0.035802","128.206.20.147","128.206.20.43","UDP","626","60857  >  49639 Len=584"
"13","0.040877","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"14","0.043933","128.206.20.147","128.206.20.43","UDP","132","60857  >  49636 Len=90"
"15","0.048739","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"16","0.050769","128.206.20.43","128.206.20.147","UDP","143","49639  >  60857 Len=101"
"17","0.060536","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"18","0.069549","128.206.20.147","128.206.20.43","UDP","626","60857  >  49639 Len=584"
"19","0.070924","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"20","0.074436","128.206.20.43","128.206.20.147","UDP","143","49639  >  60857 Len=101"
"21","0.080358","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"22","0.089785","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"23","0.095532","128.206.20.43","128.206.20.147","UDP","552","49639  >  60857 Len=510"
"24","0.099222","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"25","0.109538","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"26","0.118270","128.206.20.43","128.206.20.147","UDP","143","49639  >  60857 Len=101"
"27","0.119837","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"28","0.124050","128.206.20.147","128.206.20.43","UDP","132","60857  >  49636 Len=90"
"29","0.131191","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"30","0.136106","128.206.20.147","128.206.20.43","UDP","626","60857  >  49639 Len=584"
"31","0.139822","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"32","0.140971","128.206.20.43","128.206.20.147","UDP","143","49639  >  60857 Len=101"
"33","0.143926","128.206.20.147","128.206.20.43","UDP","132","60857  >  49636 Len=90"
"34","0.149854","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"35","0.159087","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"36","0.162313","128.206.20.43","128.206.20.147","UDP","703","49639  >  60857 Len=661"
"37","0.169089","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"38","0.178558","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"39","0.183888","128.206.20.147","128.206.20.43","UDP","132","60857  >  49636 Len=90"
"40","0.184444","128.206.20.43","128.206.20.147","UDP","143","49639  >  60857 Len=101"
"41","0.190987","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"42","0.200491","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"43","0.206376","128.206.20.43","128.206.20.147","UDP","143","49639  >  60857 Len=101"
"44","0.208981","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"45","0.219554","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"46","0.229064","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"47","0.229064","128.206.20.43","128.206.20.147","UDP","221","49636  >  60857 Len=179"
"48","0.234899","128.206.20.147","128.206.20.43","UDP","132","60857  >  49636 Len=90"
"49","0.241881","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"50","0.249061","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"51","0.251123","128.206.20.43","128.206.20.147","UDP","534","49639  >  60857 Len=492"
"52","0.261537","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"53","0.268612","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"54","0.269179","128.206.20.147","128.206.20.43","UDP","626","60857  >  49639 Len=584"
"55","0.275425","128.206.20.43","128.206.20.147","UDP","143","49639  >  60857 Len=101"
"56","0.280001","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"57","0.285298","128.206.20.43","128.206.20.147","UDP","83","49639  >  60857 Len=41"
"58","0.285299","128.206.20.43","128.206.20.147","UDP","83","55382  >  60857 Len=41"
"59","0.285576","128.206.20.147","128.206.20.43","UDP","83","60857  >  49639 Len=41"
"60","0.285708","128.206.20.43","128.206.20.147","UDP","83","62656  >  60857 Len=41"
"61","0.290915","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"62","0.296250","128.206.20.43","128.206.20.147","UDP","143","49639  >  60857 Len=101"
"63","0.299251","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"64","0.309718","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"65","0.313977","128.206.20.147","128.206.20.43","UDP","132","60857  >  49636 Len=90"
"66","0.317868","128.206.20.43","128.206.20.147","UDP","540","49639  >  60857 Len=498"
"67","0.320768","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"68","0.330079","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"69","0.335955","128.206.20.147","128.206.20.43","UDP","626","60857  >  49639 Len=584"
"70","0.338914","128.206.20.43","128.206.20.147","UDP","143","49639  >  60857 Len=101"
"71","0.339036","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"72","0.349655","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"73","0.354639","128.206.20.147","128.206.20.43","UDP","132","60857  >  49636 Len=90"
"74","0.360274","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"75","0.361760","128.206.20.43","128.206.20.147","UDP","143","49639  >  60857 Len=101"
"76","0.368994","128.206.20.147","128.206.20.43","UDP","614","60857  >  49639 Len=572"
"77","0.371671","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"78","0.379654","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"79","0.383921","128.206.20.147","128.206.20.43","UDP","132","60857  >  49636 Len=90"
"80","0.390575","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"81","0.402271","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"82","0.403888","128.206.20.147","128.206.20.43","UDP","132","60857  >  49636 Len=90"
"83","0.407531","128.206.20.43","128.206.20.147","UDP","629","49639  >  60857 Len=587"
"84","0.409790","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"85","0.420797","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"86","0.427896","128.206.20.43","128.206.20.147","UDP","143","49639  >  60857 Len=101"
"87","0.431320","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"88","0.433977","128.206.20.147","128.206.20.43","UDP","132","60857  >  49636 Len=90"
"89","0.435986","128.206.20.147","128.206.20.43","UDP","626","60857  >  49639 Len=584"
"90","0.439932","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"91","0.450673","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"92","0.458601","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"93","0.464010","128.206.20.147","128.206.20.43","UDP","132","60857  >  49636 Len=90"
"94","0.468901","128.206.20.147","128.206.20.43","UDP","614","60857  >  49639 Len=572"
"95","0.470958","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"96","0.473018","128.206.20.43","128.206.20.147","UDP","599","49639  >  60857 Len=557"
"97","0.478457","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"98","0.490366","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"99","0.495657","128.206.20.43","128.206.20.147","UDP","143","49639  >  60857 Len=101"
"100","0.500789","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"101","0.502635","128.206.20.147","128.206.20.43","UDP","626","60857  >  49639 Len=584"
"102","0.511941","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"103","0.513873","128.206.20.147","128.206.20.43","UDP","132","60857  >  49636 Len=90"
"104","0.518841","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"105","0.530868","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"106","0.538861","128.206.20.43","128.206.20.147","UDP","143","49639  >  60857 Len=101"
"107","0.541151","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"108","0.549446","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"109","0.559280","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"110","0.563974","128.206.20.43","128.206.20.147","UDP","605","49639  >  60857 Len=563"
"111","0.569191","128.206.20.147","128.206.20.43","UDP","626","60857  >  49639 Len=584"
"112","0.569590","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"113","0.579687","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"114","0.590400","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"115","0.594517","128.206.20.147","128.206.20.43","UDP","132","60857  >  49636 Len=90"
"116","0.601430","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"117","0.605884","128.206.20.43","128.206.20.147","UDP","143","49639  >  60857 Len=101"
"118","0.609178","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"119","0.618964","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"120","0.623928","128.206.20.147","128.206.20.43","UDP","132","60857  >  49636 Len=90"
"121","0.630535","128.206.20.43","128.206.20.147","UDP","611","49639  >  60857 Len=569"
"122","0.630801","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"123","0.636011","128.206.20.147","128.206.20.43","UDP","626","60857  >  49639 Len=584"
"124","0.638462","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"125","0.643910","128.206.20.147","128.206.20.43","UDP","132","60857  >  49636 Len=90"
"126","0.649686","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"127","0.653880","128.206.20.147","128.206.20.43","UDP","132","60857  >  49636 Len=90"
"128","0.660751","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"129","0.669850","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"130","0.673543","128.206.20.43","128.206.20.147","UDP","143","49639  >  60857 Len=101"
"131","0.678718","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"132","0.689023","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"133","0.695426","128.206.20.43","128.206.20.147","UDP","143","49639  >  60857 Len=101"
"134","0.700018","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"135","0.703973","128.206.20.147","128.206.20.43","UDP","132","60857  >  49636 Len=90"
"136","0.710125","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"137","0.718233","128.206.20.43","128.206.20.147","UDP","522","49639  >  60857 Len=480"
"138","0.718866","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"139","0.730607","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"140","0.734230","128.206.20.147","128.206.20.43","UDP","132","60857  >  49636 Len=90"
"141","0.739179","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"142","0.739179","128.206.20.43","128.206.20.147","UDP","143","49639  >  60857 Len=101"
"143","0.750953","128.206.20.43","128.206.20.147","UDP","83","49642  >  60857 Len=41"
"144","0.751451","128.206.20.43","128.206.20.147","UDP","83","49643  >  60857 Len=41"
"145","0.751451","128.206.20.43","128.206.20.147","UDP","83","49636  >  60857 Len=41"
"146","0.753004","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"147","0.759278","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"148","0.762344","128.206.20.43","128.206.20.147","UDP","228","49639  >  60857 Len=186"
"149","0.769373","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"150","0.779695","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"151","0.784542","128.206.20.43","128.206.20.147","UDP","540","49639  >  60857 Len=498"
"152","0.788541","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"153","0.799644","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"154","0.803915","128.206.20.147","128.206.20.43","UDP","132","60857  >  49636 Len=90"
"155","0.806293","128.206.20.43","128.206.20.147","UDP","143","49639  >  60857 Len=101"
"156","0.809105","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"157","0.820202","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"158","0.828147","128.206.20.43","128.206.20.147","UDP","143","49639  >  60857 Len=101"
"159","0.830229","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"160","0.834586","128.206.20.147","128.206.20.43","UDP","132","60857  >  49636 Len=90"
"161","0.839896","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"162","0.849223","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"163","0.859001","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"164","0.869254","128.206.20.147","128.206.20.43","UDP","620","60857  >  49639 Len=578"
"165","0.869281","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"166","0.872304","128.206.20.43","128.206.20.147","UDP","485","49639  >  60857 Len=443"
"167","0.873906","128.206.20.147","128.206.20.43","UDP","132","60857  >  49636 Len=90"
"168","0.878957","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"169","0.889080","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"170","0.893978","128.206.20.147","128.206.20.43","UDP","132","60857  >  49636 Len=90"
"171","0.895170","128.206.20.43","128.206.20.147","UDP","143","49639  >  60857 Len=101"
"172","0.899123","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"173","0.909308","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"174","0.913912","128.206.20.147","128.206.20.43","UDP","132","60857  >  49636 Len=90"
"175","0.921067","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"176","0.928823","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"177","0.938791","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"178","0.939866","128.206.20.43","128.206.20.147","UDP","143","49639  >  60857 Len=101"
"179","0.949115","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"180","0.954654","128.206.20.147","128.206.20.43","UDP","132","60857  >  49636 Len=90"
"181","0.958544","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"182","0.961744","128.206.20.43","128.206.20.147","UDP","533","49639  >  60857 Len=491"
"183","0.969630","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"184","0.980058","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"185","0.988777","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"186","0.998769","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"187","0.999991","128.206.20.147","128.206.20.43","UDP","83","60857  >  49643 Len=41"
"188","1.000615","128.206.20.43","128.206.20.147","UDP","83","49643  >  60857 Len=41"
"189","1.005872","128.206.20.43","128.206.20.147","UDP","143","49639  >  60857 Len=101"
"190","1.008739","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"191","1.020203","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"192","1.029223","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"193","1.029635","128.206.20.43","128.206.20.147","UDP","617","49639  >  60857 Len=575"
"194","1.040012","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"195","1.048913","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"196","1.050930","128.206.20.43","128.206.20.147","UDP","143","49639  >  60857 Len=101"
"197","1.053881","128.206.20.147","128.206.20.43","UDP","132","60857  >  49636 Len=90"
"198","1.059341","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"199","1.063887","128.206.20.147","128.206.20.43","UDP","132","60857  >  49636 Len=90"
"200","1.069297","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"201","1.074551","128.206.20.147","128.206.20.43","UDP","132","60857  >  49636 Len=90"
"202","1.080070","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"203","1.089126","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"204","1.095608","128.206.20.43","128.206.20.147","UDP","143","49639  >  60857 Len=101"
"205","1.100371","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"206","1.104017","128.206.20.147","128.206.20.43","UDP","132","60857  >  49636 Len=90"
"207","1.109452","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"208","1.117366","128.206.20.43","128.206.20.147","UDP","528","49639  >  60857 Len=486"
"209","1.119353","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"210","1.129324","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"211","1.135843","128.206.20.147","128.206.20.43","UDP","620","60857  >  49639 Len=578"
"212","1.139532","128.206.20.43","128.206.20.147","UDP","143","49639  >  60857 Len=101"
"213","1.141625","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
"214","1.151159","128.206.20.43","128.206.20.147","UDP","82","49636  >  60857 Len=40"
