"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"2","0.008214","128.206.20.43","128.206.20.147","UDP","709","50499  >  64513 Len=667"
"3","0.010326","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"4","0.023819","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"5","0.030320","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"6","0.032810","128.206.20.43","128.206.20.147","UDP","287","50499  >  64513 Len=245"
"7","0.038801","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"8","0.044816","Dell_b6:d8:16","Micro-St_64:16:69","ARP","42","Who has 128.206.20.43? Tell 128.206.20.147"
"9","0.045170","Micro-St_64:16:69","Dell_b6:d8:16","ARP","60","128.206.20.43 is at 4c:cc:6a:64:16:69"
"10","0.045589","128.206.20.43","128.206.20.147","UDP","287","50499  >  64513 Len=245"
"11","0.046950","128.206.20.147","128.206.20.43","UDP","132","64513  >  57490 Len=90"
"12","0.049077","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"13","0.056940","128.206.20.147","128.206.20.43","UDP","132","64513  >  57490 Len=90"
"14","0.059001","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"15","0.064320","128.206.20.43","128.206.20.147","UDP","143","50499  >  64513 Len=101"
"16","0.067925","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"17","0.080007","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"18","0.089485","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"19","0.092901","128.206.20.147","128.206.20.43","UDP","628","64513  >  50499 Len=586"
"20","0.095601","128.206.20.43","128.206.20.147","UDP","216","50499  >  64513 Len=174"
"21","0.099901","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"22","0.106968","128.206.20.147","128.206.20.43","UDP","132","64513  >  57490 Len=90"
"23","0.112119","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"24","0.113578","128.206.20.43","128.206.20.147","UDP","239","50499  >  64513 Len=197"
"25","0.118137","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"26","0.128302","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"27","0.137173","128.206.20.147","128.206.20.43","UDP","132","64513  >  57490 Len=90"
"28","0.139902","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"29","0.148097","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"30","0.158813","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"31","0.163327","128.206.20.43","128.206.20.147","UDP","257","50499  >  64513 Len=215"
"32","0.172814","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"33","0.179702","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"34","0.188203","128.206.20.147","128.206.20.43","UDP","132","64513  >  57490 Len=90"
"35","0.189313","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"36","0.193314","128.206.20.43","128.206.20.147","UDP","245","50499  >  64513 Len=203"
"37","0.193739","128.206.20.147","128.206.20.43","UDP","628","64513  >  50499 Len=586"
"38","0.199477","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"39","0.207312","128.206.20.43","128.206.20.147","UDP","263","50499  >  64513 Len=221"
"40","0.208806","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"41","0.218127","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"42","0.227787","128.206.20.147","128.206.20.43","UDP","628","64513  >  50499 Len=586"
"43","0.228810","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"44","0.239327","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"45","0.243737","128.206.20.43","128.206.20.147","UDP","287","50499  >  64513 Len=245"
"46","0.246882","128.206.20.147","128.206.20.43","UDP","132","64513  >  57490 Len=90"
"47","0.249201","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"48","0.258113","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"49","0.266122","128.206.20.43","128.206.20.147","UDP","143","50499  >  64513 Len=101"
"50","0.268343","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"51","0.278141","128.206.20.147","128.206.20.43","UDP","132","64513  >  57490 Len=90"
"52","0.280847","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"53","0.285329","128.206.20.43","128.206.20.147","UDP","210","50499  >  64513 Len=168"
"54","0.288842","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"55","0.299436","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"56","0.313318","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"57","0.313319","128.206.20.43","128.206.20.147","UDP","143","50499  >  64513 Len=101"
"58","0.317973","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"59","0.327771","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"60","0.331868","128.206.20.43","128.206.20.147","UDP","216","50499  >  64513 Len=174"
"61","0.338316","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"62","0.342334","128.206.20.43","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"63","0.346915","128.206.20.147","128.206.20.43","UDP","132","64513  >  57490 Len=90"
"64","0.348446","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"65","0.354819","128.206.20.43","128.206.20.147","UDP","222","50499  >  64513 Len=180"
"66","0.359809","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"67","0.367798","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"68","0.376912","128.206.20.147","128.206.20.43","UDP","132","64513  >  57490 Len=90"
"69","0.379312","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"70","0.387849","128.206.20.43","128.206.20.147","UDP","83","62430  >  64513 Len=41"
"71","0.393311","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"72","0.396870","128.206.20.147","128.206.20.43","UDP","132","64513  >  57490 Len=90"
"73","0.397344","128.206.20.43","128.206.20.147","UDP","245","50499  >  64513 Len=203"
"74","0.399020","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"75","0.406983","128.206.20.147","128.206.20.43","UDP","132","64513  >  57490 Len=90"
"76","0.416488","128.206.20.43","128.206.20.147","UDP","82","57490  >  64513 Len=40"
"77","0.416886","128.206.20.147","128.206.20.43","UDP","132","64513  >  57490 Len=90"
"78","0.416905","128.206.20.43","128.206.20.147","UDP","83","57490  >  64513 Len=41"
