"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","128.206.20.43","128.206.20.46","UDP","82","54179  >  54854 Len=40"
"2","0.009997","128.206.20.43","128.206.20.46","UDP","82","54179  >  54854 Len=40"
"3","0.012511","128.206.20.43","128.206.20.46","UDP","143","63271  >  54854 Len=101"
"4","0.019995","128.206.20.43","128.206.20.46","UDP","82","54179  >  54854 Len=40"
"5","0.029499","128.206.20.43","128.206.20.46","UDP","82","54179  >  54854 Len=40"
"6","0.029500","128.206.20.43","128.206.20.46","UDP","67","54179  >  54854 Len=25"
"7","0.038311","128.206.20.46","128.206.20.43","UDP","132","54854  >  54179 Len=90"
"8","0.039241","128.206.20.43","128.206.20.46","UDP","82","54179  >  54854 Len=40"
"9","0.049998","128.206.20.43","128.206.20.46","UDP","82","54179  >  54854 Len=40"
"10","0.055496","128.206.20.43","128.206.20.46","UDP","83","63271  >  54854 Len=41"
"11","0.055909","128.206.20.46","128.206.20.43","UDP","83","54854  >  63271 Len=41"
"12","0.057494","128.206.20.43","128.206.20.46","UDP","143","63271  >  54854 Len=101"
"13","0.059221","128.206.20.43","128.206.20.46","UDP","82","54179  >  54854 Len=40"
"14","0.069997","128.206.20.43","128.206.20.46","UDP","82","54179  >  54854 Len=40"
"15","0.078896","128.206.20.46","128.206.20.43","UDP","132","54854  >  54179 Len=90"
"16","0.079998","128.206.20.43","128.206.20.46","UDP","143","63271  >  54854 Len=101"
"17","0.079998","128.206.20.43","128.206.20.46","UDP","82","54179  >  54854 Len=40"
"18","0.083490","128.206.20.43","128.206.20.46","UDP","323","59184  >  54854 Len=281"
"19","0.089400","128.206.20.46","128.206.20.43","UDP","221","54854  >  54179 Len=179"
"20","0.089506","128.206.20.43","128.206.20.46","UDP","82","54179  >  54854 Len=40"
"21","0.089585","128.206.20.46","128.206.20.43","UDP","221","54854  >  54179 Len=179"
"22","0.090556","128.206.20.46","128.206.20.43","UDP","221","54854  >  54179 Len=179"
"23","0.091117","128.206.20.46","128.206.20.43","UDP","221","54854  >  54179 Len=179"
"24","0.093336","128.206.20.46","128.206.20.43","UDP","221","54854  >  54179 Len=179"
"25","0.093536","128.206.20.46","128.206.20.43","UDP","221","54854  >  54179 Len=179"
"26","0.094052","128.206.20.46","128.206.20.43","UDP","221","54854  >  54179 Len=179"
