"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","128.206.20.46","128.206.20.43","UDP","626","58222  >  53290 Len=584"
"2","0.000713","128.206.20.46","128.206.20.43","UDP","626","58222  >  53290 Len=584"
"3","0.001075","128.206.20.43","128.206.20.46","UDP","198","53291  >  58222 Len=156"
"4","0.001075","128.206.20.43","128.206.20.46","UDP","198","53291  >  58222 Len=156"
"5","0.001196","128.206.20.46","128.206.20.43","UDP","626","58222  >  53290 Len=584"
"6","0.001316","128.206.20.46","128.206.20.43","UDP","626","58222  >  53290 Len=584"
"7","0.001561","128.206.20.46","128.206.20.43","UDP","626","58222  >  53290 Len=584"
"8","0.001642","128.206.20.46","128.206.20.43","UDP","626","58222  >  53290 Len=584"
"9","0.001720","128.206.20.46","128.206.20.43","UDP","626","58222  >  53290 Len=584"
"10","0.001807","128.206.20.46","128.206.20.43","UDP","626","58222  >  53290 Len=584"
"11","0.001889","128.206.20.46","128.206.20.43","UDP","626","58222  >  53290 Len=584"
"12","0.002200","128.206.20.46","128.206.20.43","UDP","626","58222  >  53290 Len=584"
"13","0.002229","128.206.20.43","128.206.20.46","UDP","82","53289  >  58222 Len=40"
"14","0.002298","128.206.20.46","128.206.20.43","UDP","626","58222  >  53290 Len=584"
"15","0.003240","128.206.20.46","128.206.20.43","UDP","96","58222  >  53291 Len=54"
"16","0.003376","128.206.20.46","128.206.20.43","UDP","96","58222  >  53291 Len=54"
"17","0.003715","128.206.20.46","128.206.20.43","UDP","96","58222  >  53291 Len=54"
"18","0.003828","128.206.20.43","128.206.20.46","UDP","60","53291  >  58222 Len=8"
"19","0.003828","128.206.20.43","128.206.20.46","UDP","60","53291  >  58222 Len=8"
"20","0.003891","128.206.20.46","128.206.20.43","UDP","96","58222  >  53291 Len=54"
"21","0.003989","128.206.20.46","128.206.20.43","UDP","96","58222  >  53291 Len=54"
"22","0.004086","128.206.20.46","128.206.20.43","UDP","96","58222  >  53291 Len=54"
"23","0.004195","128.206.20.46","128.206.20.43","UDP","96","58222  >  53291 Len=54"
"24","0.004358","128.206.20.46","128.206.20.43","UDP","96","58222  >  53291 Len=54"
"25","0.004663","128.206.20.43","128.206.20.46","UDP","60","53291  >  58222 Len=8"
"26","0.004664","128.206.20.43","128.206.20.46","UDP","60","53291  >  58222 Len=8"
"27","0.004664","128.206.20.43","128.206.20.46","UDP","60","53291  >  58222 Len=8"
"28","0.004664","128.206.20.43","128.206.20.46","UDP","60","53291  >  58222 Len=8"
"29","0.004732","128.206.20.46","128.206.20.43","UDP","96","58222  >  53291 Len=54"
"30","0.004820","128.206.20.46","128.206.20.43","UDP","96","58222  >  53291 Len=54"
"31","0.004935","128.206.20.46","128.206.20.43","UDP","96","58222  >  53291 Len=54"
"32","0.005040","128.206.20.46","128.206.20.43","UDP","96","58222  >  53291 Len=54"
"33","0.005123","128.206.20.46","128.206.20.43","UDP","96","58222  >  53291 Len=54"
"34","0.005209","128.206.20.46","128.206.20.43","UDP","96","58222  >  53291 Len=54"
"35","0.005317","128.206.20.46","128.206.20.43","UDP","96","58222  >  53291 Len=54"
"36","0.005337","128.206.20.43","128.206.20.46","UDP","60","53291  >  58222 Len=8"
"37","0.005337","128.206.20.43","128.206.20.46","UDP","60","53291  >  58222 Len=8"
"38","0.005376","128.206.20.46","128.206.20.43","UDP","96","58222  >  53291 Len=54"
"39","0.005426","128.206.20.43","128.206.20.46","UDP","60","53291  >  58222 Len=8"
"40","0.005472","128.206.20.46","128.206.20.43","UDP","96","58222  >  53291 Len=54"
"41","0.005560","128.206.20.46","128.206.20.43","UDP","96","58222  >  53291 Len=54"
"42","0.005695","128.206.20.46","128.206.20.43","UDP","96","58222  >  53291 Len=54"
"43","0.006136","128.206.20.43","128.206.20.46","UDP","60","53291  >  58222 Len=8"
"44","0.006136","128.206.20.43","128.206.20.46","UDP","60","53291  >  58222 Len=8"
"45","0.006136","128.206.20.43","128.206.20.46","UDP","60","53291  >  58222 Len=8"
"46","0.006136","128.206.20.43","128.206.20.46","UDP","60","53291  >  58222 Len=8"
"47","0.006138","128.206.20.43","128.206.20.46","UDP","60","53291  >  58222 Len=8"
"48","0.006138","128.206.20.43","128.206.20.46","UDP","60","53291  >  58222 Len=8"
"49","0.006226","128.206.20.46","128.206.20.43","UDP","96","58222  >  53291 Len=54"
"50","0.006370","128.206.20.46","128.206.20.43","UDP","96","58222  >  53291 Len=54"
"51","0.006489","128.206.20.46","128.206.20.43","UDP","96","58222  >  53291 Len=54"
"52","0.006971","128.206.20.43","128.206.20.46","UDP","60","53291  >  58222 Len=8"
"53","0.006971","128.206.20.43","128.206.20.46","UDP","60","53291  >  58222 Len=8"
