"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"2","0.010049","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"3","0.010950","128.206.20.43","128.206.20.147","UDP","82","59511  >  61938 Len=40"
"4","0.011395","128.206.20.43","128.206.20.147","UDP","629","49640  >  61938 Len=587"
"5","0.019369","128.206.20.147","128.206.20.43","UDP","572","61938  >  49640 Len=530"
"6","0.019970","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"7","0.030049","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"8","0.040044","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"9","0.042031","128.206.20.147","128.206.20.43","UDP","572","61938  >  49640 Len=530"
"10","0.042562","128.206.20.43","128.206.20.147","UDP","82","59511  >  61938 Len=40"
"11","0.043068","128.206.20.43","128.206.20.147","UDP","617","49640  >  61938 Len=575"
"12","0.050006","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"13","0.059975","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"14","0.064123","128.206.20.43","128.206.20.147","UDP","82","59511  >  61938 Len=40"
"15","0.064391","128.206.20.43","128.206.20.147","UDP","617","49640  >  61938 Len=575"
"16","0.064553","128.206.20.147","128.206.20.43","UDP","572","61938  >  49640 Len=530"
"17","0.070019","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"18","0.080022","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"19","0.087973","128.206.20.43","128.206.20.147","UDP","82","59511  >  61938 Len=40"
"20","0.088682","128.206.20.43","128.206.20.147","UDP","546","49640  >  61938 Len=504"
"21","0.088868","128.206.20.147","128.206.20.43","UDP","572","61938  >  49640 Len=530"
"22","0.090601","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"23","0.099979","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"24","0.109482","128.206.20.147","128.206.20.43","UDP","572","61938  >  49640 Len=530"
"25","0.109981","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"26","0.118457","128.206.20.43","128.206.20.147","UDP","323","49637  >  61938 Len=281"
"27","0.118761","128.206.20.43","128.206.20.147","UDP","82","59511  >  61938 Len=40"
"28","0.119767","128.206.20.43","128.206.20.147","UDP","1019","49640  >  61938 Len=977"
"29","0.120080","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"30","0.129988","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"31","0.131072","128.206.20.147","128.206.20.43","UDP","572","61938  >  49640 Len=530"
"32","0.140035","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"33","0.146545","128.206.20.43","128.206.20.147","UDP","82","59511  >  61938 Len=40"
"34","0.147341","128.206.20.43","128.206.20.147","UDP","545","49640  >  61938 Len=503"
"35","0.149986","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"36","0.154228","128.206.20.147","128.206.20.43","UDP","572","61938  >  49640 Len=530"
"37","0.160017","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"38","0.166591","128.206.20.43","128.206.20.147","UDP","82","59511  >  61938 Len=40"
"39","0.167027","128.206.20.43","128.206.20.147","UDP","143","49640  >  61938 Len=101"
"40","0.170023","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"41","0.170902","128.206.20.43","128.206.20.147","UDP","882","49640  >  61938 Len=840"
"42","0.176669","128.206.20.147","128.206.20.43","UDP","572","61938  >  49640 Len=530"
"43","0.179973","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"44","0.190036","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"45","0.195471","128.206.20.43","128.206.20.147","UDP","82","59511  >  61938 Len=40"
"46","0.198766","128.206.20.147","128.206.20.43","UDP","572","61938  >  49640 Len=530"
"47","0.198887","128.206.20.147","128.206.20.43","UDP","221","61938  >  59511 Len=179"
"48","0.199987","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"49","0.203497","128.206.20.43","128.206.20.147","UDP","83","49642  >  61938 Len=41"
"50","0.203497","128.206.20.43","128.206.20.147","UDP","83","49643  >  61938 Len=41"
"51","0.203497","128.206.20.43","128.206.20.147","UDP","83","49636  >  61938 Len=41"
"52","0.203497","128.206.20.43","128.206.20.147","UDP","83","49637  >  61938 Len=41"
"53","0.203679","128.206.20.147","128.206.20.43","UDP","83","61938  >  49642 Len=41"
"54","0.203723","128.206.20.147","128.206.20.43","UDP","83","61938  >  49643 Len=41"
"55","0.203777","128.206.20.147","128.206.20.43","UDP","83","61938  >  49636 Len=41"
"56","0.203809","128.206.20.147","128.206.20.43","UDP","83","61938  >  49637 Len=41"
"57","0.210643","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"58","0.220020","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"59","0.221713","128.206.20.147","128.206.20.43","UDP","645","61938  >  49640 Len=603"
"60","0.228054","128.206.20.43","128.206.20.147","UDP","82","59511  >  61938 Len=40"
"61","0.229959","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"62","0.239976","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"63","0.243952","128.206.20.147","128.206.20.43","UDP","572","61938  >  49640 Len=530"
"64","0.249996","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"65","0.254614","128.206.20.43","128.206.20.147","UDP","653","49640  >  61938 Len=611"
"66","0.255079","128.206.20.43","128.206.20.147","UDP","82","59511  >  61938 Len=40"
"67","0.259983","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"68","0.267657","128.206.20.147","128.206.20.43","UDP","572","61938  >  49640 Len=530"
"69","0.269988","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"70","0.279997","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"71","0.281004","128.206.20.43","128.206.20.147","UDP","803","49640  >  61938 Len=761"
"72","0.281712","128.206.20.43","128.206.20.147","UDP","82","59511  >  61938 Len=40"
"73","0.281713","128.206.20.43","128.206.20.147","UDP","82","59511  >  61938 Len=40"
"74","0.290022","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"75","0.299986","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
"76","0.310042","128.206.20.147","128.206.20.43","UDP","132","61938  >  59511 Len=90"
