"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","128.206.20.147","128.206.20.43","UDP","132","60857  >  50477 Len=90"
"2","0.007616","128.206.20.43","128.206.20.147","UDP","82","50477  >  60857 Len=40"
"3","0.009956","128.206.20.147","128.206.20.43","UDP","132","60857  >  50477 Len=90"
"4","0.013629","128.206.20.43","128.206.20.147","UDP","257","49643  >  60857 Len=215"
"5","0.018363","128.206.20.43","128.206.20.147","UDP","82","50477  >  60857 Len=40"
"6","0.020263","128.206.20.147","128.206.20.43","UDP","132","60857  >  50477 Len=90"
"7","0.024296","128.206.20.147","128.206.20.43","UDP","614","60857  >  49643 Len=572"
"8","0.028143","128.206.20.43","128.206.20.147","UDP","323","58312  >  60857 Len=281"
"9","0.028464","128.206.20.43","128.206.20.147","UDP","82","50477  >  60857 Len=40"
"10","0.030047","128.206.20.147","128.206.20.43","UDP","132","60857  >  50477 Len=90"
"11","0.036696","128.206.20.43","128.206.20.147","UDP","299","49643  >  60857 Len=257"
"12","0.037690","128.206.20.43","128.206.20.147","UDP","82","50477  >  60857 Len=40"
"13","0.039993","128.206.20.147","128.206.20.43","UDP","132","60857  >  50477 Len=90"
"14","0.048722","128.206.20.43","128.206.20.147","UDP","82","50477  >  60857 Len=40"
"15","0.050652","128.206.20.147","128.206.20.43","UDP","132","60857  >  50477 Len=90"
"16","0.057530","128.206.20.147","128.206.20.43","UDP","626","60857  >  49643 Len=584"
"17","0.057754","128.206.20.43","128.206.20.147","UDP","82","50477  >  60857 Len=40"
"18","0.058745","128.206.20.43","128.206.20.147","UDP","324","49643  >  60857 Len=282"
"19","0.059999","128.206.20.147","128.206.20.43","UDP","132","60857  >  50477 Len=90"
"20","0.068047","128.206.20.43","128.206.20.147","UDP","82","50477  >  60857 Len=40"
"21","0.071288","128.206.20.147","128.206.20.43","UDP","132","60857  >  50477 Len=90"
"22","0.074239","128.206.20.147","128.206.20.43","UDP","221","60857  >  50477 Len=179"
"23","0.077984","128.206.20.43","128.206.20.147","UDP","82","50477  >  60857 Len=40"
"24","0.079974","128.206.20.147","128.206.20.43","UDP","132","60857  >  50477 Len=90"
"25","0.081303","128.206.20.43","128.206.20.147","UDP","383","49643  >  60857 Len=341"
"26","0.087828","128.206.20.43","128.206.20.147","UDP","82","50477  >  60857 Len=40"
"27","0.090082","128.206.20.147","128.206.20.43","UDP","132","60857  >  50477 Len=90"
"28","0.092780","128.206.20.147","128.206.20.43","UDP","614","60857  >  49643 Len=572"
"29","0.098295","128.206.20.43","128.206.20.147","UDP","82","50477  >  60857 Len=40"
"30","0.099996","128.206.20.147","128.206.20.43","UDP","132","60857  >  50477 Len=90"
"31","0.102875","128.206.20.43","128.206.20.147","UDP","348","49643  >  60857 Len=306"
"32","0.107881","128.206.20.43","128.206.20.147","UDP","82","50477  >  60857 Len=40"
"33","0.110049","128.206.20.147","128.206.20.43","UDP","132","60857  >  50477 Len=90"
"34","0.117411","128.206.20.43","128.206.20.147","UDP","82","50477  >  60857 Len=40"
"35","0.120079","128.206.20.147","128.206.20.43","UDP","132","60857  >  50477 Len=90"
"36","0.124524","128.206.20.147","128.206.20.43","UDP","626","60857  >  49643 Len=584"
"37","0.125425","128.206.20.43","128.206.20.147","UDP","336","49643  >  60857 Len=294"
"38","0.128428","128.206.20.43","128.206.20.147","UDP","82","50477  >  60857 Len=40"
"39","0.129991","128.206.20.147","128.206.20.43","UDP","132","60857  >  50477 Len=90"
"40","0.138462","128.206.20.43","128.206.20.147","UDP","82","50477  >  60857 Len=40"
"41","0.140064","128.206.20.147","128.206.20.43","UDP","132","60857  >  50477 Len=90"
"42","0.147490","128.206.20.43","128.206.20.147","UDP","143","49643  >  60857 Len=101"
"43","0.148967","128.206.20.43","128.206.20.147","UDP","82","50477  >  60857 Len=40"
"44","0.150016","128.206.20.147","128.206.20.43","UDP","132","60857  >  50477 Len=90"
"45","0.156126","128.206.20.43","128.206.20.147","UDP","83","50477  >  60857 Len=41"
"46","0.156384","128.206.20.43","128.206.20.147","UDP","83","49643  >  60857 Len=41"
"47","0.156429","128.206.20.147","128.206.20.43","UDP","83","60857  >  50477 Len=41"
"48","0.156575","128.206.20.147","128.206.20.43","UDP","83","60857  >  49643 Len=41"
"49","0.157008","128.206.20.43","128.206.20.147","UDP","83","58312  >  60857 Len=41"
"50","0.157775","128.206.20.147","128.206.20.43","UDP","83","60857  >  58312 Len=41"
"51","0.158084","128.206.20.147","128.206.20.43","UDP","626","60857  >  49643 Len=584"
"52","0.159488","128.206.20.43","128.206.20.147","UDP","82","50477  >  60857 Len=40"
"53","0.160020","128.206.20.147","128.206.20.43","UDP","132","60857  >  50477 Len=90"
"54","0.168552","128.206.20.43","128.206.20.147","UDP","82","50477  >  60857 Len=40"
"55","0.170053","128.206.20.43","128.206.20.147","UDP","401","49643  >  60857 Len=359"
"56","0.171449","128.206.20.147","128.206.20.43","UDP","132","60857  >  50477 Len=90"
"57","0.177640","128.206.20.43","128.206.20.147","UDP","82","50477  >  60857 Len=40"
"58","0.180052","128.206.20.147","128.206.20.43","UDP","132","60857  >  50477 Len=90"
