"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","128.206.20.43","128.206.20.147","UDP","168","50496  >  64513 Len=126"
"2","0.000567","128.206.20.147","128.206.20.43","UDP","132","64513  >  62430 Len=90"
"3","0.004150","128.206.20.43","128.206.20.147","UDP","82","62430  >  64513 Len=40"
"4","0.004866","128.206.20.147","128.206.20.43","UDP","610","64513  >  50496 Len=568"
"5","0.010442","128.206.20.147","128.206.20.43","UDP","132","64513  >  62430 Len=90"
"6","0.020414","128.206.20.147","128.206.20.43","UDP","132","64513  >  62430 Len=90"
"7","0.024155","128.206.20.43","128.206.20.147","UDP","143","50496  >  64513 Len=101"
"8","0.030551","128.206.20.147","128.206.20.43","UDP","132","64513  >  62430 Len=90"
"9","0.031653","128.206.20.43","128.206.20.147","UDP","82","62430  >  64513 Len=40"
"10","0.037185","128.206.20.147","128.206.20.43","UDP","610","64513  >  50496 Len=568"
"11","0.040416","128.206.20.147","128.206.20.43","UDP","132","64513  >  62430 Len=90"
"12","0.049652","128.206.20.43","128.206.20.147","UDP","269","50496  >  64513 Len=227"
"13","0.050432","128.206.20.147","128.206.20.43","UDP","132","64513  >  62430 Len=90"
"14","0.060376","128.206.20.147","128.206.20.43","UDP","132","64513  >  62430 Len=90"
"15","0.070387","128.206.20.147","128.206.20.43","UDP","132","64513  >  62430 Len=90"
"16","0.071279","128.206.20.147","128.206.20.43","UDP","610","64513  >  50496 Len=568"
"17","0.081276","128.206.20.147","128.206.20.43","UDP","132","64513  >  62430 Len=90"
"18","0.088320","128.206.20.43","128.206.20.147","UDP","281","50496  >  64513 Len=239"
"19","0.090415","128.206.20.147","128.206.20.43","UDP","132","64513  >  62430 Len=90"
"20","0.100769","128.206.20.147","128.206.20.43","UDP","132","64513  >  62430 Len=90"
"21","0.101158","128.206.20.43","128.206.20.147","UDP","82","62430  >  64513 Len=40"
"22","0.103154","128.206.20.43","128.206.20.147","UDP","245","50496  >  64513 Len=203"
"23","0.104888","128.206.20.147","128.206.20.43","UDP","610","64513  >  50496 Len=568"
"24","0.110420","128.206.20.147","128.206.20.43","UDP","132","64513  >  62430 Len=90"
"25","0.113658","128.206.20.43","128.206.20.147","UDP","82","62430  >  64513 Len=40"
"26","0.115659","128.206.20.43","128.206.20.147","UDP","281","50496  >  64513 Len=239"
"27","0.117156","128.206.20.43","128.206.20.147","UDP","82","62430  >  64513 Len=40"
"28","0.118585","128.206.20.43","128.206.20.147","UDP","82","62430  >  64513 Len=40"
"29","0.118585","128.206.20.43","128.206.20.147","UDP","82","62430  >  64513 Len=40"
"30","0.120769","128.206.20.147","128.206.20.43","UDP","132","64513  >  62430 Len=90"
"31","0.121619","128.206.20.43","128.206.20.147","UDP","83","62430  >  64513 Len=41"
"32","0.121978","128.206.20.147","128.206.20.43","UDP","83","64513  >  62430 Len=41"
"33","0.131235","128.206.20.147","128.206.20.43","UDP","132","64513  >  62430 Len=90"
"34","0.137935","128.206.20.147","128.206.20.43","UDP","610","64513  >  50496 Len=568"
"35","0.138094","128.206.20.147","128.206.20.43","UDP","221","64513  >  62430 Len=179"
"36","0.140410","128.206.20.147","128.206.20.43","UDP","132","64513  >  62430 Len=90"
"37","0.150570","128.206.20.147","128.206.20.43","UDP","132","64513  >  62430 Len=90"
"38","0.157248","128.206.20.43","128.206.20.147","UDP","82","62430  >  64513 Len=40"
"39","0.158953","128.206.20.43","128.206.20.147","UDP","82","62430  >  64513 Len=40"
"40","0.160067","128.206.20.43","128.206.20.147","UDP","281","50496  >  64513 Len=239"
"41","0.160704","128.206.20.147","128.206.20.43","UDP","132","64513  >  62430 Len=90"
"42","0.162648","128.206.20.43","128.206.20.147","UDP","82","62430  >  64513 Len=40"
"43","0.162649","128.206.20.43","128.206.20.147","UDP","82","62430  >  64513 Len=40"
"44","0.163152","128.206.20.43","128.206.20.147","UDP","82","62430  >  64513 Len=40"
"45","0.163153","128.206.20.43","128.206.20.147","UDP","221","62430  >  64513 Len=179"
"46","0.164219","128.206.20.43","128.206.20.147","UDP","82","62430  >  64513 Len=40"
"47","0.164220","128.206.20.43","128.206.20.147","UDP","82","62430  >  64513 Len=40"
"48","0.164703","128.206.20.43","128.206.20.147","UDP","82","62430  >  64513 Len=40"
"49","0.165148","128.206.20.43","128.206.20.147","UDP","82","62430  >  64513 Len=40"
"50","0.166150","128.206.20.43","128.206.20.147","UDP","82","62430  >  64513 Len=40"
"51","0.166646","128.206.20.43","128.206.20.147","UDP","82","62430  >  64513 Len=40"
"52","0.170527","128.206.20.147","128.206.20.43","UDP","132","64513  >  62430 Len=90"
